playerID,career_G_zsum,career_AB_zsum,career_R_zsum,career_H_zsum,career_2B_zsum,career_3B_zsum,career_HR_zsum,career_RBI_zsum,career_SB_zsum,career_BB_zsum,career_SO_zsum
wilbocl01,-0.9640982878138296,-0.7765511550067001,-0.6926943690125553,-0.7416841586832266,-0.681322100077771,-0.5647936169856639,-0.4651588795365735,-0.6744330712453073,-0.4727927035749903,-0.6572004131411605,-0.812785054557469
wilbote01,-1.7748352347173368,-1.7524565605633522,-1.4585869053492562,-1.6852225092450515,-1.6075189534179444,-1.1487817433938168,-1.1534513129617863,-1.5423769762329376,-0.8224263751889583,-1.4972341915886171,-1.5889378188048278
wilcomi01,-10.235248116645598,-4.702552361507031,-4.2543598626921835,-4.383298169495631,-4.0412222032417215,-3.234655914860178,-3.1741138231907566,-4.008230337432592,-2.2127986492017917,-4.104822120850124,-4.7181439922341015
wilesra01,-1.0323406735717713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiley01,-0.9390785529246205,-0.9040670745603882,-0.7474266163924137,-0.8209162743095583,-0.7161114419824187,-0.5921580509591634,-0.36640233560916446,0.0,0.0,-0.6835048769221845,0.0
wileyma01,-3.028246730590792,-0.8904312831880272,-0.794140423867366,-0.8336391511275777,-0.7724632797665266,-0.5816383902087128,-0.5527090517703418,-0.7579857213707205,-0.4412361895054777,-0.7620997519722447,-0.8547607653067677
wilforo01,6.541500815456406,3.3412977403180752,2.0859663439625957,2.446450254261254,0.6357835960896896,3.8913446630265556,-1.3722557723979079,0.4870840923802222,0.859283256174072,0.6039458308476777,2.9655379792228853
wilheha01,-0.9176661798183073,-0.8792307579557116,-0.7760649375835119,-0.8042898445993452,-0.7588869866065936,-0.4497561788473673,-0.002629206706568712,-0.7372980614987416,-0.6306454421771944,-0.6926207812645581,0.0
wilheho01,-6.427888483574344,-17.612233525469495,-16.22064630765562,-17.33153921272673,-16.54660265298921,-12.86942150276314,-12.608389713292514,-15.738543760946913,-9.032731803551808,-15.5923414149297,-15.411652121622877
wilheji01,-1.3246856715848043,-1.2183868201251489,-1.2685745561615391,-1.1331333595530841,-0.9974276395603575,0.06521870084602077,-1.126847022568589,-1.1226297587978626,-0.6482983275657634,-1.4459678836948915,-1.320445183476048
wilheka01,-4.981500606210206,-5.439608091405339,-5.908316247442631,-5.796102459386226,-5.3144195228797715,-4.7679137023754325,-4.013066618597987,-5.575502307015784,-5.329495966955753,-5.54900521026558,-2.88181450241155
wilhesp01,-0.927874741736431,-0.7255623236895528,-0.6322608666892093,-0.6610819823064704,-0.5354388043557272,-0.520514328608912,-0.4969351785496899,-0.6360216640209253,-0.3689467053850041,-0.6601339468326266,-0.6867698061302573
wilheto01,0.5095577985617652,-3.294457861237401,-2.9694311009686425,-3.070785065535386,-2.9504680542593253,-2.0319635146565576,-2.4306074652510774,-2.8690773727403043,-1.8093482226411102,-2.8273237471005204,-3.3823279079716104
wilhojo01,-0.16828423827587624,-0.616312207832193,-0.21575363139681047,-0.4299032386360887,-1.1782135693840234,-0.8808265593847108,-0.6028649330894221,-0.42800421419460144,-0.019824189053282038,-0.0162588292208119,-0.8366662058697125
wiliede01,-0.7238661286014147,-1.1029193988430528,-1.0542738301956067,-1.0597312181865917,-1.1333770101536955,-0.9315909944200301,-0.19059373727816764,-1.1600433939015171,-1.1082692262852551,0.04889047391787793,-0.6475082094297228
wilkad01,-3.076056156443496,-1.9754683364735837,-1.7818103802690768,-1.848066819633336,-1.7812677644515507,-1.2248420607418276,-1.4500447509538261,-1.722842485413064,-1.1102204772434452,-1.6984674622177405,-1.9995396537569303
wilkebr01,11.021031849631935,11.275605519741571,12.318497973974745,9.488417074368584,12.231127252936364,13.96440250477039,11.24823644713575,9.189929003686272,6.3178219933759046,18.383448853394242,21.66876369207644
wilkecu01,7.632448526835665,2.8298670289609436,1.1445990362681706,2.027111659230756,-0.759398829413126,5.4513582052329,-5.237474362977898,-1.6442757376797523,4.112235967665973,-1.9185050997987545,2.898504260075786
wilkeha01,-1.0095878323084304,-0.7856631975222602,-0.7080154603096053,-0.7595015805117334,-0.6951763298397688,-0.611493896618276,-0.3525802553820222,-0.6854823459803119,-0.49108267947042616,-0.6870633098500722,-0.8261055317302952
wilkian01,-0.6981215765939509,-0.409715911307748,-0.504486993508364,-0.4809221627290982,-0.37636472514594327,-0.39926822290537256,-0.4786754641261174,-0.48317986828533804,-0.34705329955923614,-0.44612324716624524,-0.1062731883187121
wilkibi01,-1.6096879777482043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wilkibo01,-0.23864354932410775,-0.616592677417361,-0.2502147801272283,-0.5748793583150651,-0.6554530440523033,-1.0284504690516971,-0.8714272557043455,-1.0606520885518673,-0.28699635905835974,-0.8226926652612387,-0.43087519825394016
wilkide01,-2.8271936729982037,-2.581383576433127,-2.286714838121018,-2.3921338884175505,-2.2525303171726154,-1.5952397479936358,-1.6574916110671136,-2.191726696622445,-1.3388828308543785,-2.1714396533783242,-2.52647806841237
wilkied01,-0.7391343829573268,-0.7213128920480544,-0.6050176894180477,-0.6584954012256491,-0.6542501925933276,-0.5637527812672017,-0.4094788338769647,-0.6260956629285072,-0.5192029955913041,-0.6539176562988783,0.0
wilkier01,-0.8388607411185732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
