RegularSeasonGamesAsHitter,RegularSeasonOBP,RegularSeasonSLG,RegularSeasonStolenBases,RegularSeasonGamesPitched,RegularSeasonERA,RegularSeasonShutouts,RegularSeasonSaves,RegularSeasonWHIP,RegularSeasonKPer9,PostSeasonGamesAsHitter,PostSeasonOBP,PostSeasonSLG,PostSeasonStolenBases,PostSeasonGamesPitched,PostSeasonERA,PostSeasonShutouts,PostSeasonSaves,PostSeasonWHIP,PostSeasonKPer9,AllStarAppearances,PitchingTripleCrowns,TripleCrowns,MVPs,RookieOfTheYears,WorldSeriesMVPs,CyYoungAwards,GoldGloves,AllStarGameMVPs,NLCSMVPs,ALCSMVPs,Label
234,0.3590034,0.30226365,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,0.26502404,0.25309044,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0.14285715,0.1,0,543,4.009047,0,29,1.4161788,4.411389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,0.30406505,0.39311594,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.2804878,0.34347826,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.25862068,0.21153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,0.23448277,0.2877698,0,732,3.5684047,0,318,1.226639,7.178627,0,0,0,0,15,2.625,0,5,1.2083334,6.375,3,0,0,0,0,0,0,0,0,0,0,0
447,0.11662531,0.10824742,1,447,3.2449722,9,33,1.2321298,5.6001935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,11.7,0,0,2.5,3.6000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.2694497,0.34623218,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,0.35434175,0.4550562,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
