Opt_Goal,Player_Type,VIF_Threshold,Model,Validator,Result_MCC,Result_Precision,Result_Recall,Result_AUPRC,Brier_Score,Opt_Threshold,Num_Features,Golden_Features
mcc,hitter,10.01,XGBoost,RepeatedStratifiedKFold,0.38880766521772486,0.3684210526315789,0.42857142857142855,0.3368334157700241,0.02701239101588726,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,LinearSVC,RepeatedStratifiedKFold,0.41172744443872844,0.7058823529411765,0.24489795918367346,0.4529843131592133,0.008983314903733084,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,EBM,RepeatedStratifiedKFold,0.4346205505965212,0.5925925925925926,0.32653061224489793,0.4848859952257794,0.009064353127553614,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,hitter,10.01,BalancedRandomForest,RepeatedStratifiedKFold,0.18233255992574607,0.048728813559322036,0.9387755102040817,0.08439958354272316,0.2032637483483948,0.5,35,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
mcc,pitcher,5.01,LogisticRegression,StratifiedKFold,0.3780170041832187,0.7142857142857143,0.20408163265306123,0.33193819989733364,0.010282456458222764,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,RandomForest,StratifiedKFold,0.3677009578867946,0.75,0.1836734693877551,0.27883451078617594,0.010372272600964128,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,XGBoost,StratifiedKFold,0.3350270580044441,0.3064516129032258,0.3877551020408163,0.2683507436965805,0.07242344319820404,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,LinearSVC,StratifiedKFold,0.36476422322631563,0.6666666666666666,0.20408163265306123,0.32208528954587146,0.010097274592137483,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,EBM,StratifiedKFold,0.3780170041832187,0.7142857142857143,0.20408163265306123,0.33321231385288796,0.010065763116914999,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
mcc,pitcher,5.01,BalancedRandomForest,StratifiedKFold,0.09417612483602655,0.022191400832177532,0.9795918367346939,0.15979577379296478,0.524283081679654,0.5,23,"pitching_KPer9, pitching_KPerBB, pitching_BBPer9, pitching_CG, MVPs, GoldGloves, pitching_IBB, post_pitching_HPer9, ASGs, post_pitching_AVG, post_pitching_KPerBB, post_pitching_L, pitching_SV, post_pitching_ERA, PEDUser, post_pitching_CG, post_pitching_HR, post_pitching_SH, pitching_SH, PitchingTripleCrowns, CyYoungs, RolaidsReliefManAwards, pitching_GIDP"
