playerID,batting_G,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_IBB,batting_HBP,batting_SH,batting_SF,batting_GIDP,batting_1B,batting_TB,batting_PA,batting_OBP,batting_AVG,batting_SLG,batting_OPS,batting_SBP,batting_BAbip,batting_ISO,batting_PowerSpeedNumber,batting_ABPerHR,batting_ABPerK
santaca01,1,4,0,2,1,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,3,4.0,0.5,0.5,0.75,1.25,0.0,0.6666666666666666,0.25,0.0,0.0,4.0
santafp01,2,3,0,1,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0,2,4.0,0.5,0.3333333333333333,0.6666666666666666,1.1666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
santara01,13,37,3,8,0,0,0,2,0,0.0,2,8,1.0,0.0,2.0,0.0,1.0,8,8,39.0,0.4946524064171123,0.42647058823529416,0.42647058823529416,0.9211229946524064,0.0,0.5476190476190476,0.0,0.0,0.0,9.666666666666668
santibe01,28,100,7,25,2,0,3,19,0,0.0,12,21,1.0,0.0,1.0,2.0,6.0,20,36,114.0,1.9812354312354312,1.5147852147852148,2.2433566433566434,4.224592074592074,0.0,1.7146394064872326,0.7285714285714285,0.0,19.0,28.53333333333333
santihe01,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
santijo02,3,2,1,1,0,0,1,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,4,2.0,0.5,0.5,2.0,2.5,0.0,0.0,1.5,0.0,2.0,2.0
santira01,22,51,1,12,2,0,0,2,0,0.0,1,9,0.0,0.0,1.0,0.0,0.0,10,14,52.0,0.8428571428571429,0.7178571428571429,0.830952380952381,1.6738095238095239,0.0,0.9651515151515151,0.11309523809523808,0.0,0.0,13.166666666666668
santoom01,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardibr01,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarmima01,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sassema01,4,5,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,1,5.0,0.2,0.2,0.2,0.4,0.0,0.25,0.0,0.0,0.0,5.0
saucike01,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
