yearID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
1901,50.66019417475728,187.14805825242718,26.87621359223301,50.866504854368934,7.114077669902913,3.004854368932039,1.104368932038835,22.174757281553397,6.919902912621359,0.0,13.264563106796116,,0.0,2.0145631067961167,4.058252427184466,0.0,0.0
1902,45.96923076923077,167.378021978022,21.712087912087913,44.65494505494505,6.21978021978022,2.1604395604395603,0.7824175824175824,18.12087912087912,5.885714285714286,0.0,11.945054945054945,,0.0,1.5648351648351648,4.026373626373626,0.0,0.0
1903,52.82,188.5975,24.72,49.44,7.585,2.9025,0.8375,20.36,6.8375,,13.4225,,,1.8225,5.0475,,
1904,58.039408866995075,203.17241379310346,22.911330049261085,50.1551724137931,7.022167487684729,2.8423645320197046,0.8152709359605911,18.694581280788178,6.847290640394089,0.0,13.74384236453202,,0.0,1.9137931034482758,5.4655172413793105,0.0,0.0
1905,58.37346437346437,201.0909090909091,23.675675675675677,49.877149877149876,7.022113022113022,2.751842751842752,0.8304668304668305,19.4987714987715,7.2063882063882065,0.0,15.206388206388207,,0.0,2.0098280098280097,6.152334152334152,0.0,0.0
1906,54.59038901601831,183.20594965675056,20.304347826086957,45.17620137299771,6.022883295194508,2.2974828375286043,0.597254004576659,16.60411899313501,6.855835240274599,0.0,14.116704805491992,,0.0,1.665903890160183,6.173913043478261,0.0,0.0
1907,54.44843049327354,180.05381165919283,19.48878923766816,44.17040358744394,5.538116591928251,2.1524663677130045,0.547085201793722,15.86322869955157,6.226457399103139,0.0,13.679372197309418,,0.0,1.65695067264574,5.786995515695067,0.0,0.0
1908,53.51063829787234,171.6595744680851,17.908510638297873,41.01914893617021,5.368085106382979,2.129787234042553,0.5680851063829787,14.514893617021277,5.814893617021276,0.0,12.46808510638298,,0.0,1.6404255319148937,6.872340425531915,0.0,0.0
1909,46.56353591160221,148.45672191528544,16.195211786372006,36.19705340699816,4.8968692449355435,1.8453038674033149,0.47697974217311234,13.121546961325967,5.620626151012892,0.0,11.979742173112339,,0.0,1.4069981583793738,5.738489871086556,0.0,0.0
1910,48.02230483271376,151.56691449814127,17.797397769516728,37.79182156133829,5.232342007434944,2.1561338289962824,0.671003717472119,14.605947955390334,6.068773234200743,0.0,13.78996282527881,16.723484848484848,0.0,1.470260223048327,5.613382899628252,0.0,0.0
1911,46.026455026455025,145.08112874779542,19.68430335097002,38.64902998236332,5.758377425044092,2.3333333333333335,0.9065255731922398,16.433862433862434,6.0017636684303355,0.0,13.82363315696649,16.8943661971831,0.0,1.4885361552028218,5.08641975308642,0.0,0.0
1912,41.34444444444444,130.22063492063492,17.72222222222222,34.98253968253968,5.322222222222222,2.1507936507936507,0.7015873015873015,14.834920634920636,5.373015873015873,0.0,12.195238095238095,15.738095238095237,0.0,1.138095238095238,4.388888888888889,0.0,0.0
1913,43.95454545454545,131.84415584415584,16.16883116883117,34.125,4.983766233766234,2.0551948051948052,0.762987012987013,13.555194805194805,5.275974025974026,0.0,11.797077922077921,15.069805194805195,0.0,1.1396103896103895,4.125,0.0,0.0
1914,51.46289308176101,154.19748427672957,18.27672955974843,39.15597484276729,5.817610062893082,2.187421383647799,0.8930817610062893,15.376100628930818,5.7522012578616355,8.670886075949367,14.016352201257861,18.562264150943395,0.0,1.2465408805031446,5.2679245283018865,0.0,0.0
1915,50.56658291457286,152.89447236180905,17.855527638190956,38.266331658291456,5.693467336683417,2.222361809045226,0.7977386934673367,15.051507537688442,5.158291457286432,7.178947368421053,13.969849246231156,17.613065326633166,0.0,1.2751256281407035,5.5791457286432165,0.0,0.0
1916,49.100884955752214,144.99646017699115,15.732743362831858,35.902654867256636,5.300884955752212,2.0194690265486726,0.6778761061946903,13.306194690265487,4.872566371681416,13.483870967741936,12.523893805309735,16.87433628318584,0.0,1.1347517730496455,5.007079646017699,0.0,0.0
1917,52.49418604651163,159.02131782945736,17.344961240310077,39.51744186046512,5.637596899224806,2.205426356589147,0.6492248062015504,14.645348837209303,4.676356589147287,0.0,13.391472868217054,16.82170542635659,0.0,1.122093023255814,5.967054263565892,0.0,0.0
